kind,path,id,seriesTitle,level,subject,topic,difficulty,exerciseCount,repeatTotal,types,generators
exercice,fr/exercices/cp/maths/geometrie/figures-01,bb4ea68d,Les figures planes,CP,maths,geometrie,facile,5,5,mcq,
exercice,fr/exercices/cp/maths/geometrie/solides-01,51ab7ca3,Les solides,CP,maths,geometrie,facile,3,3,matching | true-false,
application,fr/applications/cp/maths/numeration/comparer-nombres,9e2f72e9,Comparer des nombres,CP,maths,numeration,facile,1,8,compare,comparerNombres
application,fr/applications/cp/maths/numeration/compter-de-n,57232e9f,Compter de N en N,CP,maths,numeration,facile,1,10,sequence,compterDeN
application,fr/applications/cp/maths/numeration/decompo-gen,75a9828d,Dizaines et unités,CP,maths,numeration,facile,1,10,number-check,decompositionBase10
application,fr/applications/cp/maths/numeration/pair-ou-impair,3a999cd6,Pair ou impair ?,CP,maths,numeration,facile,1,12,number-check,pairOuImpair
application,fr/applications/cp/maths/numeration/regle-graduee-gen,bb9d74ac,Lecture sur la règle graduée,CP,maths,numeration,facile,1,10,ruler,ruler
exercice,fr/exercices/cp/maths/numeration/comparer-01,4cb28460,Comparer des nombres,CP,maths,numeration,facile,4,4,compare,
exercice,fr/exercices/cp/maths/numeration/decompo-100-01,4e5c714d,Dizaines et unités jusqu'à 100,CP,maths,numeration,facile,5,5,base-10,
exercice,fr/exercices/cp/maths/numeration/decompo-20-01,871cbf14,Décomposer les nombres jusqu'à 20,CP,maths,numeration,facile,5,5,number-check,
exercice,fr/exercices/cp/maths/numeration/mots-01,daf40046,Nombres en lettres (11 à 20),CP,maths,numeration,facile,2,2,matching,
exercice,fr/exercices/cp/maths/numeration/pairs-impairs-01,28ab94b9,Nombres pairs et impairs,CP,maths,numeration,facile,3,3,true-false,
exercice,fr/exercices/cp/maths/numeration/regle-graduee-01,6ba1da64,Lecture sur la règle graduée,CP,maths,numeration,facile,5,5,ruler,
exercice,fr/exercices/cp/maths/numeration/suites-01,dc15cc4b,Suites de nombres,CP,maths,numeration,facile,5,5,sequence,
application,fr/applications/cp/maths/numeration/arrondir-dizaine,d5d4ec4f,Arrondir à la dizaine,CP,maths,numeration,moyen,1,10,number-check,arrondirNombre
