kind,path,id,seriesTitle,level,subject,topic,difficulty,exerciseCount,repeatTotal,lengthFlag,types,generators,classes
application,fr/applications/cp/maths/calcul/grouper-10-01,p5l2m941,Grouper pour faire 10 (petits ajouts),CP,maths,calcul,facile,1,10,,number-check,grouper10,S1.1.1
exercice,fr/exercices/cp/maths/calcul/liens-numeriques-01,lnum01cp,Décomposer un nombre (arbre),CP,maths,calcul,facile,5,5,,number-check,,S1.1.1
application,fr/applications/cp/maths/calcul/grouper-10-02,q6m3n052,Grouper pour faire 10 (grands ajouts),CP,maths,calcul,moyen,1,12,,number-check,grouper10,S1.1.1
exercice,fr/exercices/cp/maths/geometrie/figures-01,bb4ea68d,Les figures planes,CP,maths,geometrie,facile,5,5,,mcq,,S1.1.1 | S2.2.1
exercice,fr/exercices/cp/maths/geometrie/quadrillage-lire-01,11934872,Lire les coordonnées d'un point,CP,maths,geometrie,facile,5,5,,coordinate-grid,,S1.1.1
exercice,fr/exercices/cp/maths/geometrie/solides-01,51ab7ca3,Les solides,CP,maths,geometrie,facile,3,3,,matching | true-false,,S2.1.1 | S2.1.4 | S3.2.3
exercice,fr/exercices/cp/maths/geometrie/symetrie-01,cpsym001,La symétrie,CP,maths,geometrie,facile,3,3,,true-false | mcq,,S1.1.1 | S2.1.4 | S3.2.3
exercice,fr/exercices/cp/maths/grandeurs/durees-01,26253744,Les jours et moments de la journée,CP,maths,grandeurs,facile,5,5,,mcq | matching | true-false,,I1.1.1
exercice,fr/exercices/cp/maths/grandeurs/longueurs-01,786a2748,Mesurer avec une règle,CP,maths,grandeurs,facile,5,5,,ruler | mcq,,I1.1.2 | S3.1.1
exercice,fr/exercices/cp/maths/grandeurs/temperature-01,5c2d5e04,Chaud ou froid ? Lire la température,CP,maths,grandeurs,facile,5,5,,ruler | matching | mcq | true-false,,I1.1.2 | S1.1.1 | S3.1.1 | S3.2.3
exercice,fr/exercices/cp/maths/logique/suites-figurales-01,fig001cp,Suites de figures,CP,maths,logique,facile,5,5,,mcq,,S3.2.1
application,fr/applications/cp/maths/numeration/chasse-aux-nombres-01,f5b2d847,Chasse aux nombres (1 → 15),CP,maths,numeration,facile,1,6,,number-hunt,huntNombres,S1.1.1
application,fr/applications/cp/maths/numeration/comparer-groupes-01,h7d4f163,Autant plus ou moins ? (petits nbr.),CP,maths,numeration,facile,1,8,,compare-groups,comparerGroupes,S3.1.1
application,fr/applications/cp/maths/numeration/comparer-nombres,9e2f72e9,Comparer des nombres,CP,maths,numeration,facile,1,8,,compare,comparerNombres,S3.1.1
application,fr/applications/cp/maths/numeration/complement-10-01,n3j0k729,Compléter jusqu'à 10 (avec dessin),CP,maths,numeration,facile,1,10,,count-objects,complementA10Emoji,S1.1.2
application,fr/applications/cp/maths/numeration/compter-de-n,57232e9f,Compter de N en N,CP,maths,numeration,facile,1,10,,sequence,compterDeN,S2.1.1
application,fr/applications/cp/maths/numeration/compter-objets-01,l1h8i507,Compter des objets (petits nombres),CP,maths,numeration,facile,1,10,,count-objects,compterObjets,S2.1.1
application,fr/applications/cp/maths/numeration/decompo-gen,75a9828d,Dizaines et unités,CP,maths,numeration,facile,1,10,,number-check,decompositionBase10,S1.1.1
application,fr/applications/cp/maths/numeration/pair-ou-impair,3a999cd6,Pair ou impair ?,CP,maths,numeration,facile,1,12,,number-check,pairOuImpair,S1.1.1
application,fr/applications/cp/maths/numeration/regle-graduee-gen,bb9d74ac,Lecture sur la règle graduée,CP,maths,numeration,facile,1,10,,ruler,ruler,I1.1.2
application,fr/applications/cp/maths/numeration/trier-nombres-01,j9f6g385,Trier des nombres (3 nombres),CP,maths,numeration,facile,1,8,,drag-sort,trierNombres,S3.1.2
exercice,fr/exercices/cp/maths/numeration/coloriage-magique-01,mc001cp,Coloriage magique — nombres pairs,CP,maths,numeration,facile,2,5,,magic-color,magicColorGrid,S1.1.1
exercice,fr/exercices/cp/maths/numeration/comparer-01,4cb28460,Comparer des nombres,CP,maths,numeration,facile,4,4,,compare,,S3.1.1
exercice,fr/exercices/cp/maths/numeration/decompo-100-01,4e5c714d,Dizaines et unités jusqu'à 100,CP,maths,numeration,facile,5,5,,base-10,,S2.1.2
exercice,fr/exercices/cp/maths/numeration/decompo-20-01,871cbf14,Décomposer les nombres jusqu'à 20,CP,maths,numeration,facile,5,5,,number-check,,S1.1.1 | S2.1.3
exercice,fr/exercices/cp/maths/numeration/mots-01,daf40046,Nombres en lettres (11 à 20),CP,maths,numeration,facile,2,2,,matching,,S2.1.4
exercice,fr/exercices/cp/maths/numeration/pairs-impairs-01,28ab94b9,Nombres pairs et impairs,CP,maths,numeration,facile,3,3,,true-false,,I1.1.2 | S3.2.3
exercice,fr/exercices/cp/maths/numeration/regle-graduee-01,6ba1da64,Lecture sur la règle graduée,CP,maths,numeration,facile,5,5,,ruler,,I1.1.2
exercice,fr/exercices/cp/maths/numeration/suites-01,dc15cc4b,Suites de nombres,CP,maths,numeration,facile,5,5,,sequence,,S3.1.2 | S3.2.1
application,fr/applications/cp/maths/numeration/arrondir-dizaine,d5d4ec4f,Arrondir à la dizaine,CP,maths,numeration,moyen,1,10,,number-check,arrondirNombre,S1.1.1
application,fr/applications/cp/maths/numeration/chasse-aux-nombres-02,g6c3e958,Chasse aux nombres (1 → 25),CP,maths,numeration,moyen,1,6,,number-hunt,huntNombres,S1.1.1
application,fr/applications/cp/maths/numeration/comparer-groupes-02,i8e5g274,Autant plus ou moins ? (grands nbr.),CP,maths,numeration,moyen,1,8,,compare-groups,comparerGroupes,S3.1.1
application,fr/applications/cp/maths/numeration/complement-10-02,o4k1l830,Compléter jusqu'à 10 (calcul),CP,maths,numeration,moyen,1,12,,number-check,complementA10Nombre,S1.1.2
application,fr/applications/cp/maths/numeration/compter-objets-02,m2i9j618,Compter des objets (grands nombres),CP,maths,numeration,moyen,1,10,,count-objects,compterObjets,S2.1.1
application,fr/applications/cp/maths/numeration/trier-nombres-02,k0g7h496,Trier des nombres (5 nombres),CP,maths,numeration,moyen,1,8,,drag-sort,trierNombres,S3.1.2
