path,current_title,suggested_title,reason
ce1/maths/logique/venn-nombres,"Diagramme de Venn - Nombres","Diagramme de Venn Nombres",tiret
ce1/maths/mesures,"Lire l'heure: heures et demies","Lire l'heure",long
ce1/maths/numeration/blocs-valeur-02,"Blocs centaines, dizaines et unités","Blocs valeur de position",long
ce1/maths/numeration/decompo-gen,"Centaines, dizaines et unités","Valeur de position",long
ce1/maths/operations/comparer-expressions,"Compare sans calculer (+, -)","Compare sans calculer",parens
ce1/maths/operations/familles-faits,"Familles de faits (+, -)","Familles de faits addition",parens
ce1/maths/operations/vrai-faux-ops,"Vrai ou faux (+, -)","Vrai ou faux addition",parens
ce2/maths/calcul/complement-1000-01,"Compléments à 1 000 (centaines)","Compléments à 1 000",parens+long
ce2/maths/calcul/complement-1000-02,"Compléments à 1 000 (dizaines)","Compléments à 1 000",parens+long
ce2/maths/calcul/equilibrer-add-01,"Équilibrer des additions — jusqu'à 20","Équilibrer des additions",long
ce2/maths/calcul/equilibrer-add-02,"Équilibrer des additions — jusqu'à 100","Équilibrer des additions",long
ce2/maths/calcul/somme-1000-02,"Résultat = 1 000 (calcul réfléchi)","Calcul réfléchi 1 000",parens+long
ce2/maths/logique/venn-formes,"Diagramme de Venn - Figures","Diagramme de Venn Figures",tiret
ce2/maths/logique/venn-nombres,"Diagramme de Venn - Nombres","Diagramme de Venn Nombres",tiret
ce2/maths/mesures,"Lire l'heure pas de 5 minutes","Lire l'heure 5 minutes",long
ce2/maths/mesures/lire-heure-matching-01,"Lire l'heure (pile, demie)","Lire l'heure pile et demie",parens
ce2/maths/mesures/lire-heure-matching-02,"Lire l'heure (quarts d'heure)","Lire l'heure quarts",parens+long
ce2/maths/mesures/lire-heure-matching-03,"Lire l'heure (5 minutes)","Lire l'heure 5 minutes",parens
ce2/maths/mesures/lire-tableau-01,"Lire un tableau — le plus et le moins","Tableau le plus moins",long
ce2/maths/mesures/suites-horaires-heures,"Suites d'heures — heures entières","Suites d'heures",long
ce2/maths/mesures/unites-mesure-01,"Unités de mesure — cm ou m","Unites mesure cm m",special
ce2/maths/mesures/unites-mesure-02,"Unités de mesure — mm, cm ou m","Unites mesure mm cm m",special
ce2/maths/mesures/unites-mesure-03,"Unités de mesure — mm, cm, m ou km","Unites mesure mm cm m km",special
ce2/maths/numeration/ajouter-valeur-pos-difficile,"Ajouter unités, dizaines ou centaines","Ajouter une valeur",long
ce2/maths/numeration/ajouter-valeur-pos-facile,"Ajouter des unités ou des dizaines","Ajouter une valeur",long
ce2/maths/numeration/ajouter-valeur-pos-moyen,"Ajouter des dizaines ou centaines","Ajouter une valeur",long
ce2/maths/numeration/blocs-valeur-position-01,"Valeur de position — centaines","Valeur de position",long+special
